Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,Transit_stations,Workplaces,Residential
,Ottawa,Ontario,-56.0,-27.0,-41.0,-77.0,-63.0,25.0
,Ottawa,Ontario,-55.0,-25.0,-32.0,-76.0,-63.0,25.0
,Ottawa,Ontario,-53.0,-22.0,-47.0,-76.0,-63.0,26.0
,Ottawa,Ontario,-55.0,-23.0,-43.0,-76.0,-60.0,27.0
,Ottawa,Ontario,-51.0,-15.0,3.0,-71.0,-25.0,13.0
,Ottawa,Ontario,-49.0,-15.0,18.0,-72.0,-22.0,10.0
,Ottawa,Ontario,-51.0,-20.0,-24.0,-76.0,-60.0,23.0
,Ottawa,Ontario,-53.0,-22.0,-33.0,-75.0,-59.0,23.0
,Ottawa,Ontario,-52.0,-20.0,-22.0,-76.0,-58.0,23.0
,Ottawa,Ontario,-48.0,-15.0,-10.0,-74.0,-58.0,23.0
,Ottawa,Ontario,-55.0,-25.0,-26.0,-75.0,-55.0,25.0
,Ottawa,Ontario,-49.0,-13.0,38.0,-71.0,-23.0,12.0
,Ottawa,Ontario,-50.0,-17.0,32.0,-73.0,-21.0,10.0
,Ottawa,Ontario,-52.0,-24.0,-25.0,-77.0,-60.0,22.0
,Ottawa,Ontario,-52.0,-21.0,-28.0,-75.0,-57.0,23.0
,Ottawa,Ontario,-52.0,-19.0,-25.0,-76.0,-57.0,23.0
,Ottawa,Ontario,-48.0,-13.0,-35.0,-74.0,-57.0,24.0
,Ottawa,Ontario,-52.0,-16.0,-39.0,-75.0,-55.0,25.0
,Ottawa,Ontario,-48.0,-4.0,-4.0,-70.0,-22.0,12.0
,Ottawa,Ontario,-37.0,6.0,77.0,-68.0,-13.0,8.0
,Ottawa,Ontario,-73.0,-61.0,12.0,-85.0,-83.0,29.0
,Ottawa,Ontario,-47.0,-21.0,-52.0,-72.0,-59.0,23.0
,Ottawa,Ontario,-36.0,-7.0,-28.0,-70.0,-53.0,20.0
,Ottawa,Ontario,-34.0,-9.0,-30.0,-69.0,-53.0,21.0
,Ottawa,Ontario,-40.0,-16.0,-27.0,-68.0,-49.0,21.0
,Ottawa,Ontario,-26.0,-3.0,46.0,-57.0,-8.0,8.0
,Ottawa,Ontario,-25.0,-2.0,62.0,-60.0,-5.0,6.0
,Ottawa,Ontario,-43.0,-22.0,-34.0,-73.0,-55.0,21.0
,Ottawa,Ontario,-38.0,-13.0,-40.0,-71.0,-53.0,21.0
,Ottawa,Ontario,-42.0,-21.0,-42.0,-72.0,-53.0,21.0
,Ottawa,Ontario,-35.0,-11.0,-35.0,-69.0,-52.0,21.0
,Ottawa,Ontario,-35.0,-8.0,-17.0,-66.0,-48.0,20.0
,Ottawa,Ontario,-35.0,-15.0,-10.0,-61.0,-10.0,9.0
,Ottawa,Ontario,-21.0,1.0,28.0,-58.0,-3.0,6.0
,Ottawa,Ontario,-35.0,-14.0,-39.0,-71.0,-55.0,20.0
,Ottawa,Ontario,-37.0,-16.0,-47.0,-72.0,-53.0,21.0
,Ottawa,Ontario,-37.0,-14.0,-35.0,-70.0,-53.0,21.0
,Ottawa,Ontario,-33.0,-11.0,-44.0,-69.0,-53.0,21.0
,Ottawa,Ontario,-36.0,-14.0,-37.0,-68.0,-48.0,21.0
,Durham,Ontario,4.0,6.0,18.0,6.0,2.0,-1.0
,Durham,Ontario,15.0,13.0,29.0,1.0,-2.0,-3.0
,Durham,Ontario,-24.0,-42.0,52.0,-47.0,-75.0,17.0
,Durham,Ontario,0.0,12.0,-1.0,0.0,-2.0,1.0
,Durham,Ontario,2.0,6.0,-1.0,-4.0,3.0,0.0
,Durham,Ontario,4.0,7.0,4.0,-1.0,2.0,-1.0
,Durham,Ontario,1.0,-3.0,-4.0,-2.0,-6.0,1.0
,Durham,Ontario,9.0,8.0,43.0,18.0,9.0,-2.0
,Durham,Ontario,11.0,3.0,48.0,9.0,6.0,-2.0
,Durham,Ontario,3.0,2.0,19.0,-3.0,1.0,0.0
,Durham,Ontario,2.0,7.0,4.0,2.0,2.0,-1.0
,Durham,Ontario,-8.0,-4.0,-11.0,-8.0,-3.0,3.0
,Durham,Ontario,-13.0,-12.0,-19.0,-11.0,-10.0,5.0
,Durham,Ontario,-11.0,-9.0,-16.0,-2.0,-3.0,3.0
,Durham,Ontario,8.0,9.0,21.0,7.0,9.0,-1.0
,Durham,Ontario,12.0,7.0,23.0,1.0,6.0,-1.0
,Durham,Ontario,2.0,4.0,0.0,-4.0,3.0,0.0
,Durham,Ontario,1.0,0.0,-7.0,-3.0,4.0,0.0
,Durham,Ontario,5.0,4.0,0.0,-3.0,5.0,-1.0
,Durham,Ontario,5.0,6.0,19.0,-1.0,2.0,0.0
,Durham,Ontario,-2.0,-3.0,-1.0,-2.0,4.0,0.0
,Durham,Ontario,10.0,8.0,45.0,7.0,9.0,-2.0
,Durham,Ontario,11.0,5.0,79.0,5.0,4.0,-1.0
,Durham,Ontario,5.0,6.0,46.0,-3.0,3.0,0.0
,Durham,Ontario,1.0,3.0,-2.0,-6.0,2.0,1.0
,Durham,Ontario,5.0,10.0,4.0,-5.0,3.0,0.0
,Durham,Ontario,9.0,41.0,30.0,-9.0,2.0,0.0
,Durham,Ontario,-3.0,46.0,10.0,-25.0,-13.0,5.0
,Durham,Ontario,-10.0,27.0,38.0,-16.0,1.0,3.0
,Durham,Ontario,-10.0,11.0,65.0,-20.0,-6.0,4.0
,Durham,Ontario,-9.0,30.0,32.0,-43.0,-31.0,11.0
,Durham,Ontario,-27.0,14.0,16.0,-52.0,-39.0,14.0
,Durham,Ontario,-32.0,2.0,19.0,-56.0,-43.0,17.0
,Durham,Ontario,-34.0,6.0,29.0,-57.0,-47.0,18.0
,Durham,Ontario,-44.0,-5.0,0.0,-60.0,-49.0,21.0
,Durham,Ontario,-48.0,-9.0,54.0,-47.0,-32.0,12.0
,Durham,Ontario,-50.0,-24.0,28.0,-51.0,-36.0,11.0
,Durham,Ontario,-46.0,-11.0,-32.0,-68.0,-55.0,22.0
,Durham,Ontario,-47.0,-11.0,3.0,-66.0,-57.0,22.0
,Durham,Ontario,-53.0,-24.0,9.0,-68.0,-60.0,24.0
,Durham,Ontario,-54.0,-18.0,-2.0,-70.0,-61.0,25.0
,Durham,Ontario,-54.0,-20.0,23.0,-67.0,-60.0,25.0
,Durham,Ontario,-60.0,-26.0,-8.0,-59.0,-44.0,16.0
,Durham,Ontario,-59.0,-37.0,-2.0,-63.0,-44.0,13.0
,Durham,Ontario,-54.0,-29.0,-37.0,-74.0,-62.0,25.0
,Durham,Ontario,-49.0,-19.0,-20.0,-69.0,-63.0,24.0
,Durham,Ontario,-47.0,-21.0,3.0,-68.0,-62.0,24.0
,Durham,Ontario,-49.0,-19.0,10.0,-69.0,-62.0,25.0
,Durham,Ontario,-53.0,-24.0,-28.0,-71.0,-62.0,27.0
,Durham,Ontario,-55.0,-25.0,-4.0,-57.0,-44.0,15.0
,Durham,Ontario,-58.0,-35.0,3.0,-61.0,-44.0,13.0
,Durham,Ontario,-52.0,-24.0,-1.0,-70.0,-63.0,24.0
,Durham,Ontario,-50.0,-18.0,-13.0,-69.0,-63.0,24.0
,Durham,Ontario,-47.0,-10.0,-5.0,-68.0,-63.0,24.0
,Durham,Ontario,-38.0,13.0,-13.0,-68.0,-64.0,24.0
,Durham,Ontario,-81.0,-71.0,-40.0,-81.0,-86.0,35.0
,Durham,Ontario,-50.0,-9.0,6.0,-55.0,-46.0,15.0
,Durham,Ontario,-81.0,-76.0,-26.0,-63.0,-54.0,15.0
,Durham,Ontario,-54.0,-25.0,-42.0,-75.0,-69.0,27.0
,Durham,Ontario,-48.0,-15.0,-23.0,-69.0,-62.0,25.0
,Durham,Ontario,-49.0,-20.0,-33.0,-71.0,-62.0,25.0
,Durham,Ontario,-49.0,-14.0,-25.0,-70.0,-62.0,26.0
,Durham,Ontario,-52.0,-22.0,-26.0,-70.0,-62.0,27.0
,Durham,Ontario,-53.0,-22.0,10.0,-53.0,-41.0,15.0
,Durham,Ontario,-58.0,-36.0,-29.0,-61.0,-42.0,14.0
,Durham,Ontario,-47.0,-20.0,-5.0,-68.0,-61.0,24.0
,Durham,Ontario,-49.0,-22.0,-36.0,-71.0,-62.0,25.0
,Durham,Ontario,-46.0,-17.0,-21.0,-69.0,-61.0,24.0
,Durham,Ontario,-46.0,-13.0,-16.0,-67.0,-61.0,25.0
,Durham,Ontario,-51.0,-22.0,-23.0,-68.0,-61.0,26.0
,Durham,Ontario,-50.0,-19.0,45.0,-46.0,-40.0,14.0
,Durham,Ontario,-55.0,-33.0,-36.0,-60.0,-41.0,13.0
,Durham,Ontario,-44.0,-15.0,24.0,-64.0,-61.0,23.0
,Durham,Ontario,-44.0,-15.0,-12.0,-65.0,-61.0,24.0
,Durham,Ontario,-46.0,-17.0,-33.0,-69.0,-61.0,24.0
,Durham,Ontario,-47.0,-9.0,-22.0,-66.0,-61.0,25.0
,Durham,Ontario,-46.0,-12.0,9.0,-62.0,-59.0,24.0
,Durham,Ontario,-49.0,-17.0,15.0,-47.0,-39.0,14.0
,Durham,Ontario,-43.0,-22.0,68.0,-40.0,-34.0,10.0
,Durham,Ontario,-43.0,-11.0,-2.0,-64.0,-59.0,23.0
,Durham,Ontario,-41.0,-7.0,4.0,-62.0,-59.0,22.0
,Durham,Ontario,-40.0,-9.0,8.0,-62.0,-58.0,22.0
,Durham,Ontario,-43.0,-7.0,-7.0,-65.0,-59.0,24.0
,Durham,Ontario,-45.0,-8.0,-10.0,-62.0,-57.0,24.0
,Durham,Ontario,-44.0,-4.0,-10.0,-49.0,-34.0,14.0
,Durham,Ontario,-37.0,-13.0,-5.0,-45.0,-30.0,10.0
,Durham,Ontario,-44.0,-16.0,-15.0,-66.0,-57.0,23.0
,Durham,Ontario,-41.0,-10.0,-10.0,-63.0,-56.0,22.0
,Durham,Ontario,-35.0,-8.0,26.0,-61.0,-56.0,21.0
,Durham,Ontario,-38.0,-5.0,-5.0,-64.0,-57.0,23.0
,Durham,Ontario,-41.0,-9.0,-9.0,-61.0,-57.0,24.0
,Durham,Ontario,-37.0,-8.0,107.0,-34.0,-30.0,10.0
,Durham,Ontario,-34.0,-10.0,47.0,-45.0,-28.0,9.0
,Durham,Ontario,-67.0,-58.0,-20.0,-74.0,-84.0,30.0
,Durham,Ontario,-27.0,6.0,22.0,-57.0,-54.0,20.0
,Durham,Ontario,-23.0,1.0,61.0,-55.0,-53.0,19.0
,Durham,Ontario,-25.0,3.0,60.0,-56.0,-53.0,19.0
,Durham,Ontario,-30.0,-6.0,44.0,-54.0,-51.0,19.0
,Durham,Ontario,-30.0,-5.0,110.0,-32.0,-22.0,9.0
,Durham,Ontario,-27.0,-16.0,83.0,-33.0,-21.0,7.0
,Durham,Ontario,-22.0,-5.0,53.0,-55.0,-54.0,18.0
,Durham,Ontario,-23.0,-6.0,43.0,-55.0,-51.0,18.0
,Durham,Ontario,-22.0,-5.0,42.0,-54.0,-51.0,18.0
,Durham,Ontario,-27.0,-6.0,-6.0,-57.0,-52.0,20.0
,Durham,Ontario,-30.0,-9.0,-7.0,-54.0,-50.0,20.0
,Durham,Ontario,-30.0,-8.0,66.0,-28.0,-13.0,9.0
,Durham,Ontario,-24.0,-13.0,77.0,-29.0,-13.0,7.0
,Durham,Ontario,-21.0,-5.0,60.0,-52.0,-50.0,17.0
,Durham,Ontario,-24.0,-7.0,31.0,-53.0,-49.0,18.0
,Durham,Ontario,-23.0,-5.0,41.0,-54.0,-48.0,18.0
,Durham,Ontario,-22.0,0.0,70.0,-52.0,-48.0,17.0
,Durham,Ontario,-27.0,-7.0,42.0,-55.0,-48.0,18.0
,Durham,Ontario,-24.0,-6.0,130.0,-29.0,-12.0,7.0
,Durham,Ontario,-19.0,-12.0,143.0,-30.0,-13.0,5.0
,Durham,Ontario,-17.0,-5.0,78.0,-53.0,-49.0,16.0
,Durham,Ontario,-19.0,-3.0,66.0,-54.0,-48.0,16.0
,Durham,Ontario,-19.0,-2.0,35.0,-55.0,-48.0,18.0
,Durham,Ontario,-19.0,5.0,66.0,-51.0,-47.0,17.0
,Durham,Ontario,-25.0,-3.0,48.0,-51.0,-46.0,16.0
,Durham,Ontario,-24.0,-3.0,126.0,-29.0,-8.0,6.0
,Durham,Ontario,-19.0,-9.0,141.0,-25.0,-8.0,4.0
,Durham,Ontario,-17.0,0.0,72.0,-50.0,-47.0,15.0
,Durham,Ontario,-17.0,3.0,76.0,-51.0,-47.0,15.0
,Durham,Ontario,-16.0,3.0,76.0,-51.0,-46.0,16.0
,Durham,Ontario,-16.0,8.0,79.0,-52.0,-47.0,15.0
,Durham,Ontario,-18.0,4.0,64.0,-44.0,-45.0,14.0
,Durham,Ontario,-18.0,8.0,147.0,-15.0,-3.0,4.0
,Durham,Ontario,-14.0,-3.0,129.0,-17.0,-2.0,2.0
,Durham,Ontario,-16.0,-1.0,48.0,-49.0,-49.0,15.0
,Durham,Ontario,-19.0,1.0,15.0,-50.0,-48.0,16.0
,Durham,Ontario,-13.0,5.0,43.0,-46.0,-45.0,15.0
,Durham,Ontario,-12.0,11.0,80.0,-45.0,-45.0,14.0
,Durham,Ontario,-18.0,2.0,78.0,-41.0,-45.0,13.0
,Durham,Ontario,-21.0,1.0,112.0,-15.0,-7.0,5.0
,Durham,Ontario,-14.0,-7.0,164.0,-11.0,-1.0,2.0
,Durham,Ontario,-6.0,6.0,90.0,-47.0,-47.0,13.0
,Durham,Ontario,8.0,32.0,85.0,-43.0,-46.0,11.0
,Durham,Ontario,-43.0,-42.0,237.0,-58.0,-73.0,19.0
,Durham,Ontario,-6.0,14.0,75.0,-49.0,-49.0,14.0
,Durham,Ontario,-14.0,3.0,78.0,-48.0,-50.0,14.0
,Durham,Ontario,-18.0,-3.0,166.0,-20.0,-7.0,4.0
,Durham,Ontario,-12.0,-11.0,152.0,-16.0,-6.0,1.0
,Durham,Ontario,-7.0,4.0,90.0,-50.0,-47.0,13.0
,Durham,Ontario,-8.0,4.0,81.0,-48.0,-47.0,14.0
,Durham,Ontario,-8.0,3.0,64.0,-51.0,-45.0,14.0
,Durham,Ontario,-8.0,9.0,72.0,-50.0,-45.0,14.0
,Durham,Ontario,-16.0,-4.0,58.0,-48.0,-45.0,13.0
,Durham,Ontario,-20.0,-4.0,59.0,-29.0,-7.0,6.0
,Durham,Ontario,-12.0,-11.0,124.0,-22.0,-5.0,2.0
,Durham,Ontario,-9.0,0.0,80.0,-50.0,-47.0,13.0
,Durham,Ontario,-8.0,2.0,89.0,-48.0,-46.0,13.0
,Durham,Ontario,-7.0,1.0,81.0,-50.0,-44.0,13.0
,Durham,Ontario,-12.0,6.0,24.0,-54.0,-46.0,15.0
,Durham,Ontario,-14.0,-1.0,88.0,-44.0,-44.0,12.0
,Durham,Ontario,-16.0,-5.0,178.0,-17.0,-5.0,2.0
,Durham,Ontario,-19.0,-15.0,75.0,-25.0,-10.0,3.0
,Durham,Ontario,-6.0,2.0,94.0,-48.0,-45.0,12.0
,Durham,Ontario,-8.0,1.0,84.0,-48.0,-45.0,13.0
,Durham,Ontario,-11.0,-2.0,25.0,-52.0,-45.0,14.0
,Durham,Ontario,-8.0,7.0,84.0,-50.0,-44.0,13.0
,Durham,Ontario,-12.0,0.0,89.0,-47.0,-43.0,12.0
,Durham,Ontario,-14.0,-4.0,182.0,-21.0,-3.0,2.0
,Durham,Ontario,-9.0,-9.0,161.0,-23.0,-5.0,0.0
,Durham,Ontario,-10.0,-1.0,58.0,-53.0,-48.0,13.0
,Durham,Ontario,-6.0,4.0,90.0,-50.0,-45.0,13.0
,Durham,Ontario,-5.0,5.0,69.0,-51.0,-45.0,13.0
,Durham,Ontario,-4.0,14.0,95.0,-49.0,-46.0,12.0
,Durham,Ontario,-8.0,8.0,99.0,-42.0,-46.0,10.0
,Durham,Ontario,-15.0,-2.0,189.0,-19.0,-6.0,0.0
,Durham,Ontario,-16.0,-8.0,36.0,-27.0,-13.0,3.0
,Durham,Ontario,-21.0,-21.0,131.0,-56.0,-75.0,18.0
,Durham,Ontario,-10.0,5.0,15.0,-50.0,-48.0,14.0
,Durham,Ontario,-2.0,6.0,91.0,-49.0,-45.0,12.0
,Durham,Ontario,-5.0,8.0,105.0,-47.0,-45.0,11.0
,Durham,Ontario,-12.0,0.0,86.0,-44.0,-44.0,11.0
,Durham,Ontario,-14.0,-2.0,200.0,-17.0,-5.0,1.0
,Durham,Ontario,-8.0,-8.0,151.0,-19.0,-7.0,0.0
,Durham,Ontario,-6.0,1.0,87.0,-50.0,-46.0,12.0
,Durham,Ontario,-7.0,3.0,69.0,-50.0,-45.0,12.0
,Durham,Ontario,-3.0,3.0,92.0,-50.0,-44.0,11.0
,Durham,Ontario,-5.0,9.0,94.0,-49.0,-44.0,11.0
,Durham,Ontario,-10.0,1.0,85.0,-45.0,-44.0,10.0
,Durham,Ontario,-12.0,-3.0,183.0,-21.0,-5.0,0.0
,Durham,Ontario,-9.0,-9.0,85.0,-21.0,-7.0,1.0
,Durham,Ontario,-10.0,-3.0,,-53.0,-47.0,12.0
,Durham,Ontario,-6.0,2.0,,-50.0,-44.0,12.0
,Durham,Ontario,-5.0,2.0,,-50.0,-43.0,11.0
,Durham,Ontario,-3.0,10.0,,-46.0,-43.0,11.0
,Durham,Ontario,-12.0,-2.0,,-42.0,-43.0,10.0
,Durham,Ontario,-14.0,-2.0,,-15.0,-5.0,1.0
,Durham,Ontario,-9.0,-7.0,,-11.0,-5.0,-1.0
,Durham,Ontario,-6.0,1.0,,-50.0,-45.0,11.0
,Durham,Ontario,-6.0,3.0,,-49.0,-44.0,11.0
,Durham,Ontario,-6.0,2.0,,-48.0,-42.0,11.0
,Durham,Ontario,-7.0,9.0,,-47.0,-43.0,12.0
,Durham,Ontario,-12.0,1.0,,-40.0,-41.0,10.0
,Durham,Ontario,-15.0,1.0,,-12.0,-5.0,2.0
,Durham,Ontario,-5.0,-3.0,,-7.0,-2.0,-1.0
,Durham,Ontario,-3.0,4.0,,-44.0,-44.0,11.0
,Durham,Ontario,-4.0,5.0,,-44.0,-44.0,11.0
,Durham,Ontario,-5.0,4.0,,-52.0,-42.0,12.0
,Durham,Ontario,-4.0,6.0,,-48.0,-43.0,10.0
,Durham,Ontario,-8.0,3.0,,-42.0,-43.0,9.0
,Durham,Ontario,-14.0,0.0,,-14.0,-7.0,0.0
,Durham,Ontario,-1.0,1.0,,-13.0,-6.0,-2.0
,Durham,Ontario,-45.0,-44.0,,-63.0,-81.0,20.0
,Durham,Ontario,-2.0,15.0,,-48.0,-45.0,12.0
,Durham,Ontario,-6.0,2.0,,-52.0,-41.0,12.0
,Durham,Ontario,-7.0,7.0,,-50.0,-42.0,12.0
,Durham,Ontario,-11.0,-1.0,56.0,-45.0,-39.0,10.0
,Durham,Ontario,-9.0,3.0,144.0,-14.0,-1.0,2.0
,Durham,Ontario,-7.0,1.0,62.0,-18.0,-5.0,3.0
,Durham,Ontario,-7.0,2.0,67.0,-52.0,-39.0,11.0
,Durham,Ontario,-6.0,2.0,54.0,-51.0,-40.0,12.0
,Durham,Ontario,-8.0,-3.0,58.0,-51.0,-38.0,11.0
,Durham,Ontario,-10.0,1.0,62.0,-49.0,-39.0,11.0
,Durham,Ontario,-12.0,-4.0,38.0,-42.0,-37.0,10.0
,Durham,Ontario,-10.0,1.0,110.0,-16.0,-2.0,3.0
,Durham,Ontario,-5.0,0.0,101.0,-14.0,-3.0,2.0
,Durham,Ontario,-11.0,-2.0,55.0,-52.0,-40.0,12.0
,Durham,Ontario,-11.0,1.0,45.0,-51.0,-40.0,12.0
,Durham,Ontario,-10.0,1.0,49.0,-53.0,-36.0,12.0
,Durham,Ontario,-13.0,1.0,42.0,-52.0,-37.0,12.0
,Durham,Ontario,-15.0,-3.0,44.0,-47.0,-35.0,11.0
,Durham,Ontario,-11.0,2.0,131.0,-22.0,1.0,2.0
,Durham,Ontario,-6.0,-2.0,105.0,-20.0,-1.0,2.0
,Durham,Ontario,-13.0,0.0,52.0,-53.0,-37.0,12.0
,Durham,Ontario,-12.0,3.0,24.0,-51.0,-39.0,12.0
,Durham,Ontario,-13.0,-1.0,-9.0,-53.0,-37.0,13.0
,Durham,Ontario,-12.0,7.0,24.0,-52.0,-36.0,12.0
,Durham,Ontario,-17.0,-1.0,12.0,-50.0,-34.0,12.0
,Durham,Ontario,-13.0,2.0,94.0,-25.0,-2.0,4.0
,Durham,Ontario,-14.0,-2.0,-4.0,-28.0,-7.0,5.0
,Durham,Ontario,-14.0,1.0,36.0,-55.0,-37.0,12.0
,Durham,Ontario,-13.0,4.0,23.0,-54.0,-39.0,12.0
,Durham,Ontario,-14.0,3.0,-5.0,-58.0,-36.0,13.0
,Durham,Ontario,-11.0,13.0,20.0,-54.0,-36.0,12.0
,Durham,Ontario,-13.0,11.0,33.0,-47.0,-35.0,11.0
,Durham,Ontario,-16.0,9.0,94.0,-28.0,-3.0,4.0
,Durham,Ontario,-14.0,5.0,74.0,-31.0,-6.0,3.0
,Durham,Ontario,-58.0,-52.0,61.0,-75.0,-81.0,23.0
,Durham,Ontario,-13.0,5.0,35.0,-53.0,-39.0,12.0
,Durham,Ontario,-13.0,1.0,32.0,-57.0,-35.0,13.0
,Durham,Ontario,-18.0,-2.0,-29.0,-58.0,-37.0,15.0
,Durham,Ontario,-15.0,0.0,17.0,-51.0,-33.0,12.0
,Durham,Ontario,-11.0,4.0,101.0,-26.0,0.0,5.0
,Durham,Ontario,-13.0,-3.0,31.0,-31.0,-6.0,5.0
,Durham,Ontario,-18.0,-4.0,-14.0,-59.0,-37.0,14.0
,Durham,Ontario,-12.0,2.0,16.0,-55.0,-38.0,13.0
,Durham,Ontario,-13.0,0.0,-2.0,-59.0,-35.0,14.0
,Durham,Ontario,-14.0,4.0,5.0,-56.0,-35.0,14.0
,Durham,Ontario,-14.0,-3.0,49.0,-51.0,-32.0,12.0
,Durham,Ontario,-11.0,4.0,53.0,-31.0,-1.0,5.0
,Durham,Ontario,-8.0,-1.0,31.0,-30.0,-4.0,5.0
,Durham,Ontario,-14.0,0.0,-1.0,-59.0,-37.0,13.0
,Durham,Ontario,-16.0,-2.0,-23.0,-58.0,-37.0,14.0
,Durham,Ontario,-9.0,4.0,11.0,-57.0,-33.0,13.0
,Durham,Ontario,-12.0,5.0,-9.0,-55.0,-34.0,13.0
,Durham,Ontario,-12.0,3.0,-11.0,-51.0,-32.0,13.0
,Durham,Ontario,-10.0,11.0,45.0,-27.0,0.0,5.0
,Durham,Ontario,-16.0,-5.0,-31.0,-34.0,-8.0,6.0
,Durham,Ontario,-16.0,-3.0,-19.0,-59.0,-36.0,14.0
,Durham,Ontario,-15.0,-1.0,-15.0,-56.0,-37.0,14.0
,Durham,Ontario,-14.0,-3.0,16.0,-56.0,-33.0,13.0
,Durham,Ontario,-14.0,1.0,18.0,-55.0,-34.0,13.0
,Durham,Ontario,-15.0,-4.0,19.0,-54.0,-31.0,13.0
,Durham,Ontario,-9.0,2.0,114.0,-30.0,0.0,5.0
,Durham,Ontario,-5.0,-1.0,104.0,-31.0,-3.0,4.0
,Durham,Ontario,-13.0,-1.0,35.0,-61.0,-34.0,13.0
,Durham,Ontario,-10.0,0.0,36.0,-57.0,-36.0,12.0
,Durham,Ontario,-8.0,2.0,17.0,-57.0,-36.0,14.0
,Durham,Ontario,-11.0,3.0,10.0,-58.0,-34.0,13.0
,Durham,Ontario,-14.0,-3.0,-14.0,-54.0,-35.0,14.0
,Durham,Ontario,-11.0,6.0,50.0,-30.0,-1.0,6.0
,Durham,Ontario,-18.0,-11.0,-38.0,-40.0,-10.0,7.0
,Durham,Ontario,-15.0,-4.0,-20.0,-62.0,-36.0,14.0
,Durham,Ontario,-15.0,-6.0,-20.0,-59.0,-37.0,14.0
,Durham,Ontario,-12.0,-1.0,-22.0,-61.0,-34.0,14.0
,Durham,Ontario,-12.0,3.0,-5.0,-59.0,-34.0,14.0
,Durham,Ontario,-12.0,1.0,12.0,-53.0,-33.0,14.0
,Durham,Ontario,-8.0,11.0,13.0,-31.0,-1.0,6.0
,Durham,Ontario,-21.0,-12.0,-38.0,-40.0,-9.0,8.0
,Durham,Ontario,-16.0,-2.0,-19.0,-61.0,-36.0,15.0
,Durham,Ontario,-14.0,0.0,-23.0,-60.0,-37.0,15.0
,Durham,Ontario,-14.0,-3.0,-31.0,-61.0,-35.0,15.0
,Durham,Ontario,-10.0,7.0,-15.0,-57.0,-36.0,15.0
,Durham,Ontario,-14.0,1.0,-15.0,-51.0,-35.0,15.0
,Durham,Ontario,-9.0,9.0,41.0,-28.0,-2.0,7.0
,Durham,Ontario,-7.0,2.0,34.0,-34.0,-6.0,6.0
,Durham,Ontario,-16.0,-4.0,-39.0,-63.0,-37.0,16.0
,Durham,Ontario,-18.0,-1.0,-36.0,-63.0,-39.0,16.0
,Durham,Ontario,-13.0,3.0,-20.0,-62.0,-34.0,15.0
,Durham,Ontario,-13.0,6.0,-14.0,-60.0,-35.0,15.0
,Durham,Ontario,-22.0,-5.0,-37.0,-59.0,-34.0,17.0
,Durham,Ontario,-12.0,9.0,6.0,-34.0,-5.0,8.0
,Durham,Ontario,-11.0,2.0,5.0,-40.0,-7.0,7.0
,Durham,Ontario,-14.0,0.0,-19.0,-63.0,-36.0,15.0
,Durham,Ontario,-14.0,2.0,-20.0,-60.0,-36.0,15.0
,Durham,Ontario,-19.0,-5.0,-33.0,-63.0,-36.0,16.0
,Durham,Ontario,-11.0,10.0,-17.0,-60.0,-35.0,15.0
,Durham,Ontario,-14.0,3.0,-9.0,-54.0,-33.0,15.0
,Durham,Ontario,-15.0,7.0,-15.0,-32.0,-5.0,9.0
,Durham,Ontario,-9.0,5.0,-2.0,-35.0,-8.0,7.0
,Durham,Ontario,-10.0,9.0,-19.0,-61.0,-37.0,15.0
,Durham,Ontario,-7.0,9.0,-24.0,-59.0,-37.0,15.0
,Durham,Ontario,-9.0,5.0,-37.0,-61.0,-35.0,16.0
,Durham,Ontario,-6.0,20.0,-20.0,-56.0,-35.0,15.0
,Durham,Ontario,-11.0,11.0,-17.0,-53.0,-34.0,15.0
,Durham,Ontario,-10.0,15.0,7.0,-26.0,-3.0,8.0
,Durham,Ontario,-6.0,9.0,-13.0,-31.0,-6.0,7.0
,Durham,Ontario,7.0,37.0,-4.0,-55.0,-44.0,15.0
,Durham,Ontario,11.0,44.0,-7.0,-53.0,-47.0,15.0
,Durham,Ontario,18.0,60.0,-5.0,-53.0,-46.0,15.0
,Durham,Ontario,-7.0,51.0,-29.0,-62.0,-63.0,20.0
,Durham,Ontario,-88.0,-79.0,-44.0,-88.0,-86.0,29.0
,Durham,Ontario,-63.0,-48.0,-13.0,-67.0,-43.0,14.0
,Durham,Ontario,-46.0,-29.0,-5.0,-60.0,-26.0,11.0
,Durham,Ontario,-39.0,-14.0,-21.0,-78.0,-73.0,27.0
,Durham,Ontario,-31.0,-3.0,-2.0,-73.0,-61.0,23.0
,Durham,Ontario,-30.0,5.0,-40.0,-74.0,-59.0,24.0
,Durham,Ontario,-23.0,26.0,0.0,-73.0,-64.0,23.0
,Durham,Ontario,-77.0,-73.0,-13.0,-88.0,-85.0,33.0
,Durham,Ontario,-46.0,-18.0,24.0,-62.0,-28.0,14.0
,Durham,Ontario,-45.0,-23.0,-18.0,-62.0,-23.0,12.0
,Durham,Ontario,-38.0,-12.0,-21.0,-73.0,-46.0,20.0
,Durham,Ontario,-39.0,-12.0,-31.0,-72.0,-47.0,20.0
,Durham,Ontario,-40.0,-15.0,-32.0,-73.0,-45.0,20.0
,Durham,Ontario,-40.0,-9.0,-17.0,-71.0,-45.0,20.0
,Durham,Ontario,-42.0,-16.0,-27.0,-70.0,-44.0,21.0
